IATA,LATITUDE,LONGITUDE,TIMEZONE
YOC,67.57060241699219,-139.83900451660156,-8
YOD,54.404998779296875,-110.27899932861328,-7
YOJ,58.62139892578125,-117.16500091552734,-7
YOW,45.3224983215332,-75.66919708251953,-5
YPA,53.214199066199996,-105.672996521,-6
YPE,56.226898193359375,-117.4469985961914,-7
YPG,49.903099,-98.273817,-6
.,49.21609878540039,-122.70999908447266,-8
YPL,51.4463996887207,-90.21420288085938,-5
YPN,49.83639907836914,-64.2885971069336,-5
YPQ,44.22999954223633,-78.36329650878906,-5
YPR,54.286098480199996,-130.445007324,-8
YPY,58.7672004699707,-111.11699676513672,-7
YQA,44.974700927734375,-79.30329895019531,-5
YQB,46.7911,-71.393303,-5
YQF,52.18220138549805,-113.89399719238281,-7
YQG,42.27560043334961,-82.95559692382812,-5
YQH,60.11640167236328,-128.82200622558594,-8
YQK,49.788299560546875,-94.36309814453125,-6
YQL,49.6302986145,-112.800003052,-7
YQM,46.11220169067383,-64.67859649658203,-4
YQQ,49.71080017089844,-124.88700103759766,-8
YQR,50.43190002441406,-104.66600036621094,-6
YQT,48.37189865112305,-89.32389831542969,-5
YQU,55.1796989441,-118.885002136,-7
YQV,51.26470184326172,-102.46199798583984,-6
YQW,52.76919937133789,-108.24400329589844,-6
YQX,48.9369010925293,-54.56809997558594,-3.5
YQY,46.161399841299996,-60.0477981567,-4
YQZ,53.026100158691406,-122.51000213623047,-8
YRB,74.7169036865,-94.9693984985,-6
YRI,47.764400482177734,-69.58470153808594,-5
YRJ,48.52000045776367,-72.2656021118164,-5
YRM,52.4296989441,-114.903999329,-7
YRT,62.8114013672,-92.1157989502,-6
YSB,46.625,-80.79889678955078,-5
YSC,45.4385986328125,-71.69139862060547,-5
YSJ,45.31610107421875,-65.89029693603516,-4
YSM,60.020301818847656,-111.96199798583984,-7
YSR,72.982201,-84.613602,-5
YSU,46.44060134887695,-63.83359909057617,-4
YSY,71.9938964844,-125.242996216,-7
YTE,64.2300033569,-76.5267028809,-5
YTH,55.80110168457031,-97.86419677734375,-6
YTR,44.118900299072266,-77.5280990600586,-5
YTS,48.569698333699996,-81.376701355,-5
YTZ,43.627499,-79.396202,-5
